model,report,tp,fp,fn,hallucination
LLaMa 2,00e162e4080ed1f3a77cb1346d82909e,1,1,0,0
LLaMa 2,042649424ea9fa0f58fce993cc94c2d9,2,3,4,0
LLaMa 2,0731e1f57655c445fe18469c61887c4d,3,1,0,1
LLaMa 2,08566eb78816561955e6f09c4dda6806,1,1,1,0
LLaMa 2,08f2252e212e8d364961df439442b00b,3,1,0,2
LLaMa 2,094bdd31faa1c56e3a3c56a94dba33a5,3,0,3,4
LLaMa 2,0c1774c0f1c3e9acf86d5f6b88a919a3,2,1,1,2
LLaMa 2,0c78ae9be59154a672970677dd78abe2,1,1,1,2
LLaMa 2,0cab33de67d78381c63aedfb4bb611e5,1,2,0,0
LLaMa 2,0cfbac932d3b062eb173b58bd4eb9579,4,0,0,0
LLaMa 2,0cfbfb9199430962ff0f910cd10e5508,2,3,1,0
LLaMa 2,0dba8abbfa0c009cae804856789bdc48,1,0,2,0
LLaMa 2,0e0a3a6365cf94bdfe1822c24d5d6c7f,1,1,0,0
LLaMa 2,0ea31920260efb948f757228059e37bf,1,1,0,0
LLaMa 2,0f7a64fd438c7e9f2b621d2baae66a15,1,2,2,0
LLaMa 2,10381b6612810b00fcab47b4852fad83,1,3,1,0
LLaMa 2,10f748978e62759f8bed31b70e318233,1,1,0,0
LLaMa 2,124c8c6ccde6f2c08a28390d5a2b3ee5,4,0,3,2
LLaMa 2,148fb644bd23b9ea8f2b68eee5e7778c,2,2,1,2
LLaMa 2,176d7659be98f0d9149d4fef75ec62a4,4,2,1,2
LLaMa 2,17b762f58b2c0080b5cd40fd25f67dcc,0,5,1,0
LLaMa 2,182ae24b6955bf3360cfa6e338b90b1b,0,1,0,0
LLaMa 2,18e09d3a3116134cd73a4830b5210e92,4,1,2,2
LLaMa 2,192949f55487696355e02cb868f14ac6,2,2,0,0
LLaMa 2,1ba459ad450c0041a8ed06fbba67425d,0,2,1,0
LLaMa 2,1e8016d0c437fd4cb874351e06d6f5f2,2,0,4,2
LLaMa 2,1f0ca08df8400283ef13fc6fa47ab5cf,2,1,4,2
LLaMa 2,1fb503d302643ab0912d8128207fd5c6,1,1,0,0
LLaMa 2,219dc10c9d8f9b280fba336c1bbaf319,1,1,0,0
LLaMa 2,24d6d85de869a4ca5f50703e650d71b4,1,1,0,0
LLaMa 2,252e17b5466a0ecec0e5b7cb8b486072,1,3,1,0
LLaMa 2,265bf36d3894b353286509a02152b447,5,1,2,0
LLaMa 2,26fe0c1d4515f774e596cf7d49aac778,6,1,2,2
LLaMa 2,2e1bc045ff8cf1bc05af9f08f5ea2bdf,1,2,1,0
LLaMa 2,30725da9c71b8c44da8fc32e758a8788,2,1,3,2
LLaMa 2,30c084a5597472114fdb6d163c7a43cc,0,1,1,2
LLaMa 2,313f39596011cd82b4bc8b6c7c09c200,1,1,1,0
LLaMa 2,3283f1955aecf34ce483402bab0bc8f3,2,1,0,0
LLaMa 2,3449bbd44589d03e114c79e44c3caf10,1,1,2,3
LLaMa 2,3496f83b4a0463b81f4bb22ba320c105,0,4,3,0
LLaMa 2,3558051bc95215c7ab3ee8d505311d6b,1,3,0,0
LLaMa 2,3678a5986e3759df9624e5da355437c1,1,1,0,2
LLaMa 2,37e69dc404cfbaa874e03475ee3b3a47,1,2,0,0
LLaMa 2,3aca3392430c5a52b1cd4ee057c0d20e,2,2,0,0
LLaMa 2,3bc692983fb9dfe7c8514464a7472aae,2,3,5,2
LLaMa 2,3cd65ffc1c1930eccb6f36163658fc50,0,4,5,0
LLaMa 2,3d3bd40d290e565ab759eb7eca4b7fa9,0,2,0,0
LLaMa 2,3d77e3fda85ab124d636a3bcb213370b,3,0,2,0
LLaMa 2,3f54ed21194bd3f1293f8a756d7139a9,3,2,0,0
LLaMa 2,3fe68513b5da5e0b670fe1ed6099f7f3,0,2,0,0
LLaMa 2,4057d86149f5274d34d9d024b66908a3,2,1,0,0
LLaMa 2,4061a608850e943ac2fc877386c7307b,3,2,1,0
LLaMa 2,40649a37b0e7219880a2e5d0f0e6d293,0,2,0,0
LLaMa 2,40c86d235b55ac7c98f52f301c362ef3,3,2,4,2
LLaMa 2,4149f8c4177d6b819901bc4d0f3efe26,2,1,2,2
LLaMa 2,45e13b5c3f9830e2642336368ce0da40,1,1,0,0
LLaMa 2,463239e90b1bc15195a561b3a20435e0,1,1,0,0
LLaMa 2,4b24cfa50871ac9c9f4f3c4a846f7000,0,1,0,0
LLaMa 2,4b83ca4c7db28e3774503e78105e9308,1,1,0,0
LLaMa 2,4ce0b76b2c9c628fad663cddff60c0e1,1,1,0,0
LLaMa 2,4d986a5532ef4dbec4c7f912cd79b9b1,3,1,3,0
LLaMa 2,51b94dea390fc941ff88d3b63daa40f1,1,1,0,0
LLaMa 2,52a2ef68bac147bff8c73ecae305532e,0,2,1,0
LLaMa 2,538089fc6a72431f067f63f5815e3def,2,1,0,0
LLaMa 2,56d76a209e198d6392ba9e217fec4565,3,2,0,0
LLaMa 2,5701a7168ef45b53332d95614e83c145,0,3,2,1
LLaMa 2,57b9b62141aaf831c70d9ea05cda0ded,1,1,0,0
LLaMa 2,5a4c39e64227f97be3d8700ea70c4123,1,0,3,2
LLaMa 2,5bd5d077260331e63c79aea56a184c65,0,2,0,0
LLaMa 2,5c40592d10693d014ba40fa027c48549,2,1,0,0
LLaMa 2,5c49080837539fba8a414269cde062ed,0,4,0,0
LLaMa 2,5ca502eccf7d494d8351d24d6413d5aa,0,1,1,2
LLaMa 2,5fa54321a20df21622d6425d76ef52da,1,2,1,0
LLaMa 2,62ee043c37adb8c5994db0f66fe8c021,2,1,0,0
LLaMa 2,635dee915ef204c2a8e15c23b4ee7014,3,3,0,0
LLaMa 2,6416357ad615afb626d9125b266b6191,3,0,3,2
LLaMa 2,65bd8c6dabf89a7195caf98a52bbcc62,1,3,1,1
LLaMa 2,6bfabb6c8af69c046e0a5c47e5c999a4,1,4,2,0
LLaMa 2,6c7ab5eeeaed79c47d2da2e29a498730,5,1,0,0
LLaMa 2,6eabf1247c239daff5d1239659bef3af,2,3,1,0
LLaMa 2,6f581a20e80004ea206052fd7521853b,3,1,0,1
LLaMa 2,702f33303f9b7313d1b2bf18a9f1b574,2,4,5,1
LLaMa 2,746a239d2fc3cac340243be4a280a2cc,1,0,1,1
LLaMa 2,7470a94f76d80d541401a03038d6fac2,1,1,2,2
LLaMa 2,756f11b84e86227ce1e9d69b76d46c0a,1,1,0,0
LLaMa 2,761dcd73b55644d4dfaac2bf62bf72ce,0,1,1,0
LLaMa 2,77fe187e0812262a537111a2109481e5,0,2,0,0
LLaMa 2,787be78308a78803e72a0bbcdc9c7ce8,1,3,0,0
LLaMa 2,7af55365e3e6d576a2a04eb2997ac347,3,1,0,0
LLaMa 2,7bd849ff639cd1a7bc804d7fca5f2fd7,2,2,0,0
LLaMa 2,7c7e13cd255330bb006ad5cf6314c20c,0,1,0,0
LLaMa 2,7d3878747315fc716470744b4a21c19a,0,1,1,0
LLaMa 2,7fd5ea7d8c9321d9d1bb10fafe82c5b5,1,2,0,0
LLaMa 2,80c989cfd051038ad626a12c405b4d94,2,0,2,0
LLaMa 2,80d6aed34539fb95c179e7e8e3615796,1,2,1,0
LLaMa 2,811339e5b387a442fe3572241af60755,1,5,2,0
LLaMa 2,825c1bc88f80e96307712e4348ffadc4,1,3,0,0
LLaMa 2,83bc2480883957dcf0dfba3583ece179,4,1,4,2
LLaMa 2,84da5bc278797e948c3f7cb76b5e4dfb,1,3,2,0
LLaMa 2,865ccfee7f2d6b1918f06fa6c4eb76fe,1,1,0,0
LLaMa 2,86fa04d4aef9b0c1a8847451662b72bf,1,3,1,0
LLaMa 2,8b31673f9a0b9dfa2ccad43efb246cf7,1,1,0,0
LLaMa 2,8edbee3a12cd846359690652d13a5e85,2,1,2,3
LLaMa 2,8f7c7d04cbc45aeb6f0ec9dd69fd3be9,1,1,0,0
LLaMa 2,959c7f6cdd8aef04bd762897eaeea449,2,0,2,2
LLaMa 2,96e760d7b38ed2a5fb44dd98894ee2f4,2,1,0,0
LLaMa 2,9a167e7b5103bc33ae74b00a60facc87,2,1,1,1
LLaMa 2,9a37463c268e6af72c22bb638afec99a,1,2,0,0
LLaMa 2,9d433494c840afd7512ac957a7b1c207,2,2,1,2
LLaMa 2,9d790cea3da4b6d0e0d67ad52d549975,2,1,1,0
LLaMa 2,9f91076b326d1503397c2c57c46ec25f,2,4,3,0
LLaMa 2,a00ceb76c489a24d84222e64f013bba5,1,0,3,2
LLaMa 2,a01701477348f64a0176e136538f40cc,1,1,0,0
LLaMa 2,a0a77ae839dbc09ef7b083daa01c6332,4,0,1,2
LLaMa 2,a4c3833399c40c9b457e14ab4351cf52,1,2,0,0
LLaMa 2,a5f8df76406620a742e7a20843e2bc32,1,1,0,0
LLaMa 2,a8356168a849f83bde7b6f20b5a4f842,0,3,1,0
LLaMa 2,a9c99959db95427ab84cebe719a44915,1,3,1,0
LLaMa 2,ab040a35131ed53faadace2a65103178,3,1,2,1
LLaMa 2,ab82466c29e023c1cc4923abd1ba750c,1,1,3,0
LLaMa 2,ac5e4fa3db8e36ca75d0ef20bd82cedc,1,1,1,0
LLaMa 2,ace20715a216664d72011ba45b98aaca,4,0,1,1
LLaMa 2,ad5d3f43b981d97a7aaf8a5548d2efd9,1,1,0,0
LLaMa 2,b3c60a6dc4d39038a867adcd0a2439e0,1,2,1,0
LLaMa 2,b57e385a840f16b5ec49bae6a58703e3,2,0,0,0
LLaMa 2,b754b8339dbaa1d811c483c0ef61ce32,2,1,0,0
LLaMa 2,b7e6a0dc9a3d6ce38627766a402cb7b4,1,1,2,1
LLaMa 2,b8be64e04172be0ddbba8922c560a1a2,0,0,9,7
LLaMa 2,bdd91af82fcec2bc49831709d458cfb1,0,1,0,0
LLaMa 2,be35fb5e498d82b6de8a0f4c1e8a3593,0,3,1,0
LLaMa 2,be4ee024c3ae258420ec063d891fd262,0,2,3,1
LLaMa 2,c10318723078a325c993adcdcfb8be68,2,1,1,0
LLaMa 2,c22159f795b6bffc6ca0222ff7f7cd6f,2,2,1,0
LLaMa 2,c27b838bcef33de34329f879e1d4da7e,1,3,1,0
LLaMa 2,c5c8dd53f443979e59a022ad3fb56926,3,2,0,0
LLaMa 2,c7e4824fcbec2ce03ea66ea466cc86c7,0,1,2,0
LLaMa 2,c9e66c2b2207a62806ad8cf2d1be644c,1,1,0,0
LLaMa 2,cb03be6e94a2af87dfe9835af9a90176,2,1,2,0
LLaMa 2,cbec08b347952def186c342967296b70,2,2,0,0
LLaMa 2,cc5eec1d4ae185b987e2046cba6cdf40,1,1,0,0
LLaMa 2,d0bd16a373b50f106b909c6c3e1aabb2,1,2,0,0
LLaMa 2,d0cccd7d8549b0cdc8df43480c3ef29c,1,2,1,0
LLaMa 2,d3202a726b25ee7ba1fe032e1b64f794,1,1,0,0
LLaMa 2,d599102a35af34cd051539e30fa02af1,1,1,0,0
LLaMa 2,d80a855ce4b2414b2575112aa099de24,0,1,1,0
LLaMa 2,d8711243db6998385b7d1ecc55b250b2,2,3,6,2
LLaMa 2,d948678d877f8ed1423c4239d1c4706e,0,1,1,0
LLaMa 2,db9a7609001ec92ed53b0d274fc0525f,1,1,0,0
LLaMa 2,e0f03fdecc78d790264c774831fc98e5,0,2,0,0
LLaMa 2,e180066b92ebcd82a3e6679adb50aa3f,2,1,0,0
LLaMa 2,e1b3d9a851cb886f170463f43cc6864d,1,1,0,0
LLaMa 2,e1e8ca988a67c456b716f188aa1e466c,1,0,0,0
LLaMa 2,e52e607c1ccdafcf1cb3c01a77a9f2ea,1,1,1,2
LLaMa 2,e6b530576fceb82eb71f02ab52ceff22,3,2,1,0
LLaMa 2,e8d91194ae0ed24cdc79cab773f8a7be,0,1,0,0
LLaMa 2,e8ec6ba58b6cf2faf86f0f05d07299eb,1,1,0,0
LLaMa 2,ee26f187e88e85918abd44d8ccf623a2,0,2,1,0
LLaMa 2,ee40aca29a11450d1c8574d728767801,1,2,0,0
LLaMa 2,eeff3ce47067938f6e6e533c1fcbd100,0,1,4,2
LLaMa 2,f07e36e1c93e1c044d980e5a554321eb,2,1,0,0
LLaMa 2,f18c22992bff49c3d95b900b9c07dd07,1,2,2,1
LLaMa 2,f204602d89730d2551207c3b6691a071,5,0,4,2
LLaMa 2,f2e1cdf99cee3394ecd972678098963e,3,1,0,0
LLaMa 2,f304ee698326eef91341d1a70b0ff3df,1,2,1,0
LLaMa 2,f477a7d32148f8453f8b7b56e52406ad,0,1,0,0
LLaMa 2,f4aa3951edcbb5c6a7dcb35604c458fe,0,2,0,0
LLaMa 2,f859fa314eb45db6231a8f03c8323be1,0,4,1,0
LLaMa 2,fb6a60c666cee38ba9328b4b093c41b7,0,6,5,2
LLaMa 2,fd4ca8263c63c2ca4b2d1dcf761a0bca,1,2,1,1
