model,report,tp,fp,fn
semantic,00e162e4080ed1f3a77cb1346d82909e,1,0,0
semantic,02dc59711b14c545c0e618fe042d47c2,1,2,3
semantic,042649424ea9fa0f58fce993cc94c2d9,1,3,5
semantic,0731e1f57655c445fe18469c61887c4d,1,2,2
semantic,08566eb78816561955e6f09c4dda6806,1,0,1
semantic,08f2252e212e8d364961df439442b00b,0,3,3
semantic,094bdd31faa1c56e3a3c56a94dba33a5,3,3,3
semantic,0c1774c0f1c3e9acf86d5f6b88a919a3,0,2,3
semantic,0c78ae9be59154a672970677dd78abe2,0,1,1
semantic,0cab33de67d78381c63aedfb4bb611e5,0,1,1
semantic,0cfbac932d3b062eb173b58bd4eb9579,2,2,2
semantic,0cfbfb9199430962ff0f910cd10e5508,0,4,3
semantic,0dba8abbfa0c009cae804856789bdc48,1,1,2
semantic,0dbcf8b83f3110e7739bbf0144e3d7b8,1,1,1
semantic,0e0a3a6365cf94bdfe1822c24d5d6c7f,1,0,0
semantic,0ea31920260efb948f757228059e37bf,1,0,0
semantic,0f7a64fd438c7e9f2b621d2baae66a15,2,3,1
semantic,10381b6612810b00fcab47b4852fad83,0,0,2
semantic,10f748978e62759f8bed31b70e318233,0,1,1
semantic,124c8c6ccde6f2c08a28390d5a2b3ee5,1,3,6
semantic,148fb644bd23b9ea8f2b68eee5e7778c,1,3,2
semantic,176d7659be98f0d9149d4fef75ec62a4,4,5,1
semantic,17b762f58b2c0080b5cd40fd25f67dcc,0,1,1
semantic,182ae24b6955bf3360cfa6e338b90b1b,0,1,0
semantic,18e09d3a3116134cd73a4830b5210e92,1,6,5
semantic,192949f55487696355e02cb868f14ac6,2,2,0
semantic,1a6316a4384f6274bcc93c9fc6bf0643,1,4,4
semantic,1ba459ad450c0041a8ed06fbba67425d,0,0,1
semantic,1e8016d0c437fd4cb874351e06d6f5f2,1,3,5
semantic,1ed0bb3cf1c35081d44f947e92730688,1,4,5
semantic,1f0ca08df8400283ef13fc6fa47ab5cf,2,1,4
semantic,1fb503d302643ab0912d8128207fd5c6,1,0,0
semantic,20b4a2a7745cfe9ad85da507b8021020,0,1,1
semantic,20b74e65265848143b745bd14cbb52b7,1,4,5
semantic,219dc10c9d8f9b280fba336c1bbaf319,0,1,1
semantic,24d6d85de869a4ca5f50703e650d71b4,1,0,0
semantic,252e17b5466a0ecec0e5b7cb8b486072,0,0,2
semantic,265bf36d3894b353286509a02152b447,3,4,4
semantic,26fe0c1d4515f774e596cf7d49aac778,2,5,6
semantic,2e1bc045ff8cf1bc05af9f08f5ea2bdf,1,2,1
semantic,30725da9c71b8c44da8fc32e758a8788,1,2,4
semantic,30c084a5597472114fdb6d163c7a43cc,0,0,1
semantic,313f39596011cd82b4bc8b6c7c09c200,0,1,2
semantic,3283f1955aecf34ce483402bab0bc8f3,0,1,2
semantic,3449bbd44589d03e114c79e44c3caf10,0,3,3
semantic,3496f83b4a0463b81f4bb22ba320c105,0,0,3
semantic,3558051bc95215c7ab3ee8d505311d6b,0,1,1
semantic,3678a5986e3759df9624e5da355437c1,0,1,1
semantic,37e69dc404cfbaa874e03475ee3b3a47,0,0,1
semantic,3aca3392430c5a52b1cd4ee057c0d20e,1,2,1
semantic,3bc692983fb9dfe7c8514464a7472aae,4,6,3
semantic,3cd65ffc1c1930eccb6f36163658fc50,0,5,5
semantic,3d3bd40d290e565ab759eb7eca4b7fa9,0,0,0
semantic,3d77e3fda85ab124d636a3bcb213370b,2,4,3
semantic,3f54ed21194bd3f1293f8a756d7139a9,0,3,3
semantic,3fe68513b5da5e0b670fe1ed6099f7f3,0,0,0
semantic,4057d86149f5274d34d9d024b66908a3,0,1,2
semantic,4061a608850e943ac2fc877386c7307b,0,3,4
semantic,40649a37b0e7219880a2e5d0f0e6d293,0,0,0
semantic,40c86d235b55ac7c98f52f301c362ef3,2,4,5
semantic,4149f8c4177d6b819901bc4d0f3efe26,0,3,4
semantic,45e13b5c3f9830e2642336368ce0da40,0,1,1
semantic,463239e90b1bc15195a561b3a20435e0,0,1,1
semantic,4b24cfa50871ac9c9f4f3c4a846f7000,0,1,0
semantic,4b83ca4c7db28e3774503e78105e9308,0,1,1
semantic,4ce0b76b2c9c628fad663cddff60c0e1,0,1,1
semantic,4d986a5532ef4dbec4c7f912cd79b9b1,3,4,3
semantic,4e071d6bc7e61c40b053103996412a6f,4,8,10
semantic,509c5f580de7f5004b059769f7f771bc,4,6,3
semantic,51418386548499c34c3770a63646d2ee,2,2,2
semantic,51b94dea390fc941ff88d3b63daa40f1,0,1,1
semantic,52a2ef68bac147bff8c73ecae305532e,0,0,1
semantic,538089fc6a72431f067f63f5815e3def,1,1,1
semantic,56d76a209e198d6392ba9e217fec4565,1,4,2
semantic,5701a7168ef45b53332d95614e83c145,2,1,0
semantic,57b9b62141aaf831c70d9ea05cda0ded,1,0,0
semantic,5900c99e4cfcce2c13e117b9410f3ac5,1,3,2
semantic,5a4c39e64227f97be3d8700ea70c4123,1,2,3
semantic,5bd5d077260331e63c79aea56a184c65,0,0,0
semantic,5c40592d10693d014ba40fa027c48549,0,1,2
semantic,5c49080837539fba8a414269cde062ed,0,0,0
semantic,5ca502eccf7d494d8351d24d6413d5aa,1,1,0
semantic,5dddd6b76f78f622f93a3a085b33dadf,2,5,6
semantic,5f302dc623edfc9fa10d6173d8b4edbc,1,5,3
semantic,5fa54321a20df21622d6425d76ef52da,1,2,1
semantic,62ee043c37adb8c5994db0f66fe8c021,1,0,1
semantic,62f6a04b07845348f71e2e027f64bd37,1,3,3
semantic,635dee915ef204c2a8e15c23b4ee7014,2,2,1
semantic,6416357ad615afb626d9125b266b6191,1,4,5
semantic,65bd8c6dabf89a7195caf98a52bbcc62,2,0,0
semantic,69a1c3941ea1914b33e4c06b84155269,2,3,5
semantic,6bfabb6c8af69c046e0a5c47e5c999a4,0,2,3
semantic,6c7ab5eeeaed79c47d2da2e29a498730,1,4,4
semantic,6eabf1247c239daff5d1239659bef3af,0,3,3
semantic,6f581a20e80004ea206052fd7521853b,2,2,1
semantic,70115504b7788ef92abd1d07f1d5d84d,4,9,7
semantic,702f33303f9b7313d1b2bf18a9f1b574,2,6,5
semantic,731669ac8c46ad32a97288dfb287572f,1,2,1
semantic,746a239d2fc3cac340243be4a280a2cc,0,1,2
semantic,7470a94f76d80d541401a03038d6fac2,1,2,2
semantic,756f11b84e86227ce1e9d69b76d46c0a,0,1,1
semantic,76146b003339fbcebf7a6e84f5da6246,1,4,3
semantic,761dcd73b55644d4dfaac2bf62bf72ce,0,0,1
semantic,77fe187e0812262a537111a2109481e5,0,1,0
semantic,787be78308a78803e72a0bbcdc9c7ce8,0,0,1
semantic,7af55365e3e6d576a2a04eb2997ac347,2,3,1
semantic,7bd849ff639cd1a7bc804d7fca5f2fd7,0,0,2
semantic,7c7e13cd255330bb006ad5cf6314c20c,0,1,0
semantic,7d3878747315fc716470744b4a21c19a,1,0,0
semantic,7f4478ef81f9c974a623d51d40313ad6,2,6,5
semantic,7fd5ea7d8c9321d9d1bb10fafe82c5b5,0,0,1
semantic,80c989cfd051038ad626a12c405b4d94,0,3,4
semantic,80d6aed34539fb95c179e7e8e3615796,1,2,1
semantic,811339e5b387a442fe3572241af60755,1,0,2
semantic,825c1bc88f80e96307712e4348ffadc4,0,2,1
semantic,83bc2480883957dcf0dfba3583ece179,4,6,4
semantic,84da5bc278797e948c3f7cb76b5e4dfb,1,1,2
semantic,865ccfee7f2d6b1918f06fa6c4eb76fe,1,0,0
semantic,86f92648fb2c036c34d07b6aaf901648,2,4,4
semantic,86fa04d4aef9b0c1a8847451662b72bf,1,1,1
semantic,8b31673f9a0b9dfa2ccad43efb246cf7,0,1,1
semantic,8edbee3a12cd846359690652d13a5e85,3,3,1
semantic,8f7c7d04cbc45aeb6f0ec9dd69fd3be9,1,0,0
semantic,93e95d8e5e79a5b659ff447efa43685c,0,4,9
semantic,95375fd76df2f6c9fd560092cbc785f9,1,3,2
semantic,959c7f6cdd8aef04bd762897eaeea449,1,4,3
semantic,96e760d7b38ed2a5fb44dd98894ee2f4,1,1,1
semantic,9a167e7b5103bc33ae74b00a60facc87,0,2,3
semantic,9a37463c268e6af72c22bb638afec99a,0,0,1
semantic,9d433494c840afd7512ac957a7b1c207,2,2,1
semantic,9d790cea3da4b6d0e0d67ad52d549975,1,1,2
semantic,9f91076b326d1503397c2c57c46ec25f,1,0,4
semantic,a00ceb76c489a24d84222e64f013bba5,2,4,2
semantic,a01701477348f64a0176e136538f40cc,0,1,1
semantic,a0a77ae839dbc09ef7b083daa01c6332,2,3,3
semantic,a3a7123c42fe0e9eef7e2e15c758abe9,2,4,5
semantic,a4c3833399c40c9b457e14ab4351cf52,0,0,1
semantic,a5f8df76406620a742e7a20843e2bc32,1,0,0
semantic,a8356168a849f83bde7b6f20b5a4f842,0,0,1
semantic,a89dd0e6ae84bd4deaaa4f657bb63a70,3,6,5
semantic,a9c99959db95427ab84cebe719a44915,0,2,2
semantic,ab040a35131ed53faadace2a65103178,1,5,4
semantic,ab82466c29e023c1cc4923abd1ba750c,1,1,3
semantic,ac5e4fa3db8e36ca75d0ef20bd82cedc,2,2,0
semantic,acc2c265d475100cf2b96d26b5deeea7,1,2,2
semantic,ace20715a216664d72011ba45b98aaca,3,2,2
semantic,ad5d3f43b981d97a7aaf8a5548d2efd9,0,1,1
semantic,b3c60a6dc4d39038a867adcd0a2439e0,0,1,2
semantic,b57e385a840f16b5ec49bae6a58703e3,2,1,0
semantic,b754b8339dbaa1d811c483c0ef61ce32,1,1,1
semantic,b7e6a0dc9a3d6ce38627766a402cb7b4,0,2,3
semantic,b8be64e04172be0ddbba8922c560a1a2,2,3,7
semantic,bdd91af82fcec2bc49831709d458cfb1,0,1,0
semantic,be35fb5e498d82b6de8a0f4c1e8a3593,0,0,1
semantic,be4ee024c3ae258420ec063d891fd262,1,0,2
semantic,c10318723078a325c993adcdcfb8be68,2,2,1
semantic,c22159f795b6bffc6ca0222ff7f7cd6f,1,1,2
semantic,c27b838bcef33de34329f879e1d4da7e,0,1,2
semantic,c5c8dd53f443979e59a022ad3fb56926,1,4,2
semantic,c7e4824fcbec2ce03ea66ea466cc86c7,1,2,1
semantic,c9650367eab214554ca9e598b7d20b98,1,0,1
semantic,c9e66c2b2207a62806ad8cf2d1be644c,1,0,0
semantic,cb03be6e94a2af87dfe9835af9a90176,0,2,4
semantic,cbec08b347952def186c342967296b70,0,3,2
semantic,cc5eec1d4ae185b987e2046cba6cdf40,1,0,0
semantic,d0bd16a373b50f106b909c6c3e1aabb2,0,0,1
semantic,d0cccd7d8549b0cdc8df43480c3ef29c,0,1,2
semantic,d0db0b174137b9e26b82ed008b361a68,0,2,2
semantic,d3202a726b25ee7ba1fe032e1b64f794,0,1,1
semantic,d599102a35af34cd051539e30fa02af1,0,1,1
semantic,d69c116a0a0c2526647f50eeb1793be0,4,3,4
semantic,d80a855ce4b2414b2575112aa099de24,1,0,0
semantic,d8252334c34c052abb9c4217d31535d3,2,5,4
semantic,d8711243db6998385b7d1ecc55b250b2,3,5,5
semantic,d948678d877f8ed1423c4239d1c4706e,0,1,1
semantic,da4d4d4d7dd7260931c0854c047f4762,1,2,1
semantic,db9a7609001ec92ed53b0d274fc0525f,0,2,1
semantic,e0f03fdecc78d790264c774831fc98e5,0,0,0
semantic,e180066b92ebcd82a3e6679adb50aa3f,1,0,1
semantic,e1b3d9a851cb886f170463f43cc6864d,0,1,1
semantic,e1d393f017f3d7e977c40e590b2b23ba,2,3,1
semantic,e1e8ca988a67c456b716f188aa1e466c,1,2,0
semantic,e52e607c1ccdafcf1cb3c01a77a9f2ea,1,2,1
semantic,e6b530576fceb82eb71f02ab52ceff22,0,3,4
semantic,e8d91194ae0ed24cdc79cab773f8a7be,0,1,0
semantic,e8ec6ba58b6cf2faf86f0f05d07299eb,1,0,0
semantic,ee26f187e88e85918abd44d8ccf623a2,0,1,1
semantic,ee40aca29a11450d1c8574d728767801,0,0,1
semantic,eeff3ce47067938f6e6e533c1fcbd100,2,3,2
semantic,f07935345b083bf8b8eefe8be3db5a6d,4,5,6
semantic,f07e36e1c93e1c044d980e5a554321eb,0,1,2
semantic,f18c22992bff49c3d95b900b9c07dd07,1,2,2
semantic,f204602d89730d2551207c3b6691a071,3,8,6
semantic,f2e1cdf99cee3394ecd972678098963e,1,3,2
semantic,f304ee698326eef91341d1a70b0ff3df,0,0,2
semantic,f477a7d32148f8453f8b7b56e52406ad,0,1,0
semantic,f4aa3951edcbb5c6a7dcb35604c458fe,0,0,0
semantic,f859fa314eb45db6231a8f03c8323be1,0,0,1
semantic,fb6a60c666cee38ba9328b4b093c41b7,2,2,3
semantic,fd4ca8263c63c2ca4b2d1dcf761a0bca,2,0,0
